Generated by http://opendatacommunities.org,2017-03-10T12:50:32+00:00
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield E09000010,16500,35000,22500,14000,17000,15000,14900,5700,12400
http://opendatacommunities.org/id/geography/administration/nmd/E07000072,Epping Forest E07000072,11100,14800,10400,4700,8200,4900,4600,3700,3200
http://opendatacommunities.org/id/geography/administration/nmd/E07000208,Epsom and Ewell E07000208,5800,12400,7200,4700,2600,5300,"","",1600
http://opendatacommunities.org/id/geography/administration/nmd/E07000036,Erewash E07000036,4300,7600,12400,4500,10400,5500,6000,5900,9600
http://opendatacommunities.org/id/geography/administration/nmd/E07000041,Exeter E07000041,5900,14400,10900,5600,5200,4700,7500,3200,7000
http://opendatacommunities.org/id/geography/administration/nmd/E07000087,Fareham E07000087,6100,11500,11300,5100,6400,3900,4600,"",6600
http://opendatacommunities.org/id/geography/administration/nmd/E07000010,Fenland E07000010,4000,5200,6400,1500,5300,5500,1800,7900,6000
http://opendatacommunities.org/id/geography/administration/nmd/E07000201,Forest Heath E07000201,4700,3800,6100,"",3200,3400,2600,3100,5200
http://opendatacommunities.org/id/geography/administration/nmd/E07000080,Forest of Dean E07000080,3900,4200,5500,3700,6900,3000,3000,4600,4900
http://opendatacommunities.org/id/geography/administration/nmd/E07000119,Fylde E07000119,4200,7600,6200,3900,3200,3200,2400,"",3600
http://opendatacommunities.org/id/geography/administration/md/E08000037,Gateshead E08000037,7300,16100,14500,10200,9600,11400,7400,6100,12300
http://opendatacommunities.org/id/geography/administration/nmd/E07000173,Gedling E07000173,8200,11900,12900,8200,3000,3200,1200,4200,1800
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,Gloucester E07000081,8200,10400,7100,8900,9000,5800,3700,6600,7500
http://opendatacommunities.org/id/geography/administration/nmd/E07000088,Gosport E07000088,4400,8200,4600,2100,7500,4900,2400,3000,6700
http://opendatacommunities.org/id/geography/administration/nmd/E07000109,Gravesham E07000109,3900,8800,6600,"",6400,4600,6000,"",3600
http://opendatacommunities.org/id/geography/administration/nmd/E07000145,Great Yarmouth E07000145,6600,4300,4500,1300,6000,8100,2800,2000,8400
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich E09000011,17200,31000,23200,14300,9900,11600,10400,6300,12000
http://opendatacommunities.org/id/geography/administration/nmd/E07000209,Guildford E07000209,7400,18600,12100,8000,5100,5300,3100,5000,3900
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney E09000012,14200,37700,29600,13100,6700,12200,8400,3200,12000
http://opendatacommunities.org/id/geography/administration/nmd/E07000164,Hambleton E07000164,6000,6700,5900,4400,7800,4300,3800,"",7900
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham E09000013,18300,25000,20200,7200,4200,5900,6500,3400,6800
http://opendatacommunities.org/id/geography/administration/nmd/E07000131,Harborough E07000131,9100,8100,9000,4600,3900,3900,3400,2900,2300
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey E09000014,11700,36400,27900,8700,14700,9700,12400,6100,16600
http://opendatacommunities.org/id/geography/administration/nmd/E07000073,Harlow E07000073,4900,7100,3300,3900,4300,5100,4600,5000,9200
http://opendatacommunities.org/id/geography/administration/nmd/E07000165,Harrogate E07000165,14300,15700,12000,9000,10200,6400,5600,"",8700
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow E09000015,14800,30000,15500,14200,12300,9900,7700,6600,8900
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,Hart E07000089,5200,15700,6100,2600,8300,3700,2600,"",3400
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,Hastings E07000062,2700,6500,3400,5300,3100,6700,4400,2600,2800
http://opendatacommunities.org/id/geography/administration/nmd/E07000090,Havant E07000090,6500,8500,10600,5000,5800,5100,3400,3700,5500
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering E09000016,11900,22200,19100,15700,14200,12900,9100,7500,10800
http://opendatacommunities.org/id/geography/administration/nmd/E07000098,Hertsmere E07000098,7100,7900,8300,8400,5600,4700,5700,"",4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,High Peak E07000037,3500,10800,6300,6300,3500,5500,4300,3000,3600
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon E09000017,15700,31200,20500,20600,16200,11100,9000,14400,16800
http://opendatacommunities.org/id/geography/administration/nmd/E07000132,Hinckley and Bosworth E07000132,7500,11800,6600,5100,5900,4100,4500,4100,5800
http://opendatacommunities.org/id/geography/administration/nmd/E07000227,Horsham E07000227,12500,14800,10100,6900,7200,5100,4100,1800,3400
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow E09000018,20500,31800,18600,10800,7500,10300,11700,9800,16100
http://opendatacommunities.org/id/geography/administration/nmd/E07000011,Huntingdonshire E07000011,8600,15900,15900,10900,7000,10200,7400,6600,8600
http://opendatacommunities.org/id/geography/administration/nmd/E07000120,Hyndburn E07000120,2700,4900,5500,4000,5400,6000,1600,3000,5700
http://opendatacommunities.org/id/geography/administration/nmd/E07000202,Ipswich E07000202,4500,13300,7800,4900,7000,5600,7000,5900,9100
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington E09000019,12800,38500,29700,9400,7400,6700,6900,2100,9800
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea E09000020,19900,17700,21200,3900,1600,4800,2600,1400,2900
http://opendatacommunities.org/id/geography/administration/nmd/E07000153,Kettering E07000153,4600,10600,7700,2600,5000,7000,5100,3100,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000146,King's Lynn and West Norfolk E07000146,4200,12400,7000,4700,10300,5300,5200,6000,12300
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames E09000021,11700,26600,15600,7700,6700,4900,4200,2100,8000
http://opendatacommunities.org/id/geography/administration/md/E08000034,Kirklees E08000034,16300,41100,19200,21600,20100,17100,13100,22100,22900
http://opendatacommunities.org/id/geography/administration/md/E08000011,Knowsley E08000011,4900,8400,6800,7600,7500,8200,5400,6300,8600
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth E09000022,26500,59200,40300,12700,4800,11800,14400,3600,16800
http://opendatacommunities.org/id/geography/administration/nmd/E07000121,Lancaster E07000121,6600,17400,7900,4900,6700,9100,4200,5100,9800
http://opendatacommunities.org/id/geography/administration/md/E08000035,Leeds E08000035,36200,86600,59600,37200,29600,27800,40700,29100,40000
http://opendatacommunities.org/id/geography/administration/nmd/E07000063,Lewes E07000063,7300,9800,8300,5600,7000,3800,"",3100,3700
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham E09000023,14000,47400,27800,14500,7200,10000,13400,6400,16200
http://opendatacommunities.org/id/geography/administration/nmd/E07000194,Lichfield E07000194,8500,7800,8300,5000,3900,4500,4000,4500,5800
http://opendatacommunities.org/id/geography/administration/nmd/E07000138,Lincoln E07000138,3700,5400,6600,3400,5700,4700,6000,4100,5800
http://opendatacommunities.org/id/geography/administration/md/E08000012,Liverpool E08000012,16200,44300,24600,24200,15600,20500,19100,17400,27200
http://opendatacommunities.org/id/geography/administration/nmd/E07000110,Maidstone E07000110,9600,12500,13600,10700,7600,10500,5600,5400,7800
http://opendatacommunities.org/id/geography/administration/nmd/E07000074,Maldon E07000074,3700,5700,4700,5400,5200,2800,1600,"",1700
http://opendatacommunities.org/id/geography/administration/nmd/E07000235,Malvern Hills E07000235,4300,4300,7100,2000,4300,"",4200,900,4600
http://opendatacommunities.org/id/geography/administration/md/E08000003,Manchester E08000003,19100,51300,33700,23000,19800,24200,26900,15400,26800
http://opendatacommunities.org/id/geography/administration/nmd/E07000174,Mansfield E07000174,3100,5700,4600,6100,7800,4800,3700,6600,8700
http://opendatacommunities.org/id/geography/administration/nmd/E07000133,Melton E07000133,1500,3200,4400,1600,2300,3700,2000,1500,4600
http://opendatacommunities.org/id/geography/administration/nmd/E07000187,Mendip E07000187,4500,13500,6200,4600,9100,6600,2800,3400,3800
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton E09000024,14100,34700,20400,10300,4600,8000,7900,2800,8200
http://opendatacommunities.org/id/geography/administration/nmd/E07000042,Mid Devon E07000042,3800,6100,4600,4800,6900,4700,"",5000,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000203,Mid Suffolk E07000203,7100,5300,8600,6700,4600,3200,4500,3100,4100
http://opendatacommunities.org/id/geography/administration/nmd/E07000228,Mid Sussex E07000228,11300,15200,16200,9200,5800,6000,6400,1400,3000
http://opendatacommunities.org/id/geography/administration/nmd/E07000210,Mole Valley E07000210,5800,10100,6800,5600,3300,4100,3000,1900,2300
http://opendatacommunities.org/id/geography/administration/nmd/E07000091,New Forest E07000091,7600,15900,8600,10200,10600,10300,5900,6700,10100
http://opendatacommunities.org/id/geography/administration/nmd/E07000175,Newark and Sherwood E07000175,4900,6400,7200,5500,9300,5800,"",6400,10800
http://opendatacommunities.org/id/geography/administration/md/E08000021,Newcastle upon Tyne E08000021,8500,32000,17400,10200,11400,12500,14500,8800,19300
http://opendatacommunities.org/id/geography/administration/nmd/E07000195,Newcastle-under-Lyme E07000195,4400,10400,9600,10200,9800,3800,7400,4200,7800
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham E09000025,12200,28500,23400,16500,18700,11200,14100,10900,30200
http://opendatacommunities.org/id/geography/administration/nmd/E07000043,North Devon E07000043,5600,5700,6900,5000,6600,3400,1400,4100,6800
http://opendatacommunities.org/id/geography/administration/nmd/E07000050,North Dorset E07000050,4600,6000,4700,2100,5800,3100,1600,1300,2900
http://opendatacommunities.org/id/geography/administration/nmd/E07000038,North East Derbyshire E07000038,5000,11000,6300,3200,7700,4700,3800,2800,5300
http://opendatacommunities.org/id/geography/administration/nmd/E07000099,North Hertfordshire E07000099,6000,21800,7900,7600,9300,6100,3300,1900,5600
http://opendatacommunities.org/id/geography/administration/nmd/E07000139,North Kesteven E07000139,8900,7300,8100,7400,5400,4900,3300,5400,3000
http://opendatacommunities.org/id/geography/administration/nmd/E07000147,North Norfolk E07000147,6900,3700,4300,3900,7300,4800,3000,2600,5700
http://opendatacommunities.org/id/geography/administration/md/E08000022,North Tyneside E08000022,8000,18600,13900,10500,8800,9800,10300,7100,12600
http://opendatacommunities.org/id/geography/administration/nmd/E07000218,North Warwickshire E07000218,4300,2300,6600,4000,3500,3500,"",3900,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000134,North West Leicestershire E07000134,5500,11800,8700,4700,2500,5800,2500,3200,4900
http://opendatacommunities.org/id/geography/administration/nmd/E07000154,Northampton E07000154,8100,21000,13000,13300,14000,11900,10200,10900,12700
http://opendatacommunities.org/id/geography/administration/nmd/E07000148,Norwich E07000148,5100,16100,8700,6600,8100,9300,8200,3400,12800
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,Nuneaton and Bedworth E07000219,5300,6600,7200,6600,8700,4700,5300,4000,4900
http://opendatacommunities.org/id/geography/administration/nmd/E07000135,Oadby and Wigston E07000135,1200,3900,4900,4300,2400,1800,2400,1500,4500
http://opendatacommunities.org/id/geography/administration/md/E08000004,Oldham E08000004,9000,13600,14800,10400,9900,10400,6900,9800,14700
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,Oxford E07000178,6100,38200,13300,7700,6900,4500,2000,1900,9300
http://opendatacommunities.org/id/geography/administration/nmd/E07000122,Pendle E07000122,4300,6700,5400,2900,5700,6300,1700,4500,4200
http://opendatacommunities.org/id/geography/administration/nmd/E07000123,Preston E07000123,4200,12700,3400,4600,9100,8700,4700,4500,10800
http://opendatacommunities.org/id/geography/administration/nmd/E07000051,Purbeck E07000051,1200,3400,2800,1900,3200,3100,1200,"",4400
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge E09000026,14300,35400,20200,17000,15100,7200,9800,10100,13500
http://opendatacommunities.org/id/geography/administration/nmd/E07000236,Redditch E07000236,7100,5100,4300,5100,4800,4200,3700,2800,5500
http://opendatacommunities.org/id/geography/administration/nmd/E07000211,Reigate and Banstead E07000211,14300,15300,14700,10000,7600,6100,4200,2000,4500
http://opendatacommunities.org/id/geography/administration/nmd/E07000124,Ribble Valley E07000124,7100,8500,2100,2200,3400,4100,"","",""
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames E09000027,20900,30500,29600,8800,3400,5800,4700,1100,2200
http://opendatacommunities.org/id/geography/administration/nmd/E07000166,Richmondshire E07000166,"",3700,6100,1500,1700,2100,2100,1700,3200
http://opendatacommunities.org/id/geography/administration/md/E08000005,Rochdale E08000005,6400,14200,9700,9400,9000,7400,8300,8100,10600
http://opendatacommunities.org/id/geography/administration/nmd/E07000075,Rochford E07000075,4500,9000,5600,10100,5500,2000,2800,2100,3500
http://opendatacommunities.org/id/geography/administration/nmd/E07000125,Rossendale E07000125,4200,7100,4300,5400,4900,1500,2100,1500,1200
http://opendatacommunities.org/id/geography/administration/nmd/E07000064,Rother E07000064,4900,12000,5000,2200,5900,2800,2300,1900,3600
http://opendatacommunities.org/id/geography/administration/md/E08000018,Rotherham E08000018,9700,18200,12500,9200,12500,9500,11200,12000,12400
http://opendatacommunities.org/id/geography/administration/nmd/E07000220,Rugby E07000220,7500,10500,6300,6200,2900,4100,1700,5100,8100
http://opendatacommunities.org/id/geography/administration/nmd/E07000212,Runnymede E07000212,4900,10500,8400,5800,4300,4500,3100,"",3100
http://opendatacommunities.org/id/geography/administration/nmd/E07000176,Rushcliffe E07000176,6000,16600,10100,5900,5400,4500,3000,"",5200
http://opendatacommunities.org/id/geography/administration/nmd/E07000092,Rushmoor E07000092,6200,11000,7800,6200,3900,6200,3000,3100,6700
http://opendatacommunities.org/id/geography/administration/nmd/E07000167,Ryedale E07000167,1400,3400,3100,1400,3800,3900,2000,3000,3700
http://opendatacommunities.org/id/geography/administration/md/E08000006,Salford E08000006,9000,17100,16500,12500,7300,11300,11600,10300,17700
http://opendatacommunities.org/id/geography/administration/md/E08000028,Sandwell E08000028,10900,14400,13100,15400,14700,15700,12000,13200,17500
http://opendatacommunities.org/id/geography/administration/nmd/E07000168,Scarborough E07000168,9100,8500,5900,2900,8200,7000,3800,2200,8600
http://opendatacommunities.org/id/geography/administration/nmd/E07000188,Sedgemoor E07000188,7400,5700,4800,9700,9800,5200,2900,2900,8300
http://opendatacommunities.org/id/geography/administration/md/E08000014,Sefton E08000014,13100,20700,19200,14600,10400,13000,11100,6400,11500
http://opendatacommunities.org/id/geography/administration/nmd/E07000169,Selby E07000169,5500,8400,5100,4500,6600,4800,2400,3200,6000
http://opendatacommunities.org/id/geography/administration/nmd/E07000111,Sevenoaks E07000111,5700,12700,6600,7300,4600,4400,3500,2500,8400
http://opendatacommunities.org/id/geography/administration/md/E08000019,Sheffield E08000019,22800,56200,34400,30100,19500,27800,17700,16500,31900
http://opendatacommunities.org/id/geography/administration/nmd/E07000112,Shepway E07000112,7700,9900,6000,8600,4900,3300,3400,2300,6100
http://opendatacommunities.org/id/geography/administration/md/E08000029,Solihull E08000029,12000,22700,10900,11700,9500,9000,7500,4000,9400
http://opendatacommunities.org/id/geography/administration/nmd/E07000006,South Bucks E07000006,6900,8000,5900,3000,2400,1100,1900,"",1700
http://opendatacommunities.org/id/geography/administration/nmd/E07000012,South Cambridgeshire E07000012,9500,26000,11100,9200,8000,7000,3700,4000,5100
http://opendatacommunities.org/id/geography/administration/nmd/E07000039,South Derbyshire E07000039,4400,13000,9500,5200,4200,5000,1900,3100,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000044,South Hams E07000044,5300,7800,7900,2000,4900,2500,2800,1400,2800
http://opendatacommunities.org/id/geography/administration/nmd/E07000140,South Holland E07000140,6500,3000,4400,4000,7900,2400,4800,3800,5800
http://opendatacommunities.org/id/geography/administration/nmd/E07000141,South Kesteven E07000141,5700,10700,8300,9300,8200,7200,2600,6500,7900
http://opendatacommunities.org/id/geography/administration/nmd/E07000031,South Lakeland E07000031,5600,7000,8200,4500,10900,4200,3200,2700,4500
http://opendatacommunities.org/id/geography/administration/nmd/E07000149,South Norfolk E07000149,7300,17700,7200,6600,8000,5100,3400,3400,7800
http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire E07000155,6100,11200,7500,5000,5900,3200,3000,1100,3700
http://opendatacommunities.org/id/geography/administration/nmd/E07000179,South Oxfordshire E07000179,9700,20900,10100,6700,6300,6800,3400,3100,5500
http://opendatacommunities.org/id/geography/administration/nmd/E07000126,South Ribble E07000126,6800,11000,8800,9700,8700,4900,4800,2400,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000189,South Somerset E07000189,6700,12500,9300,7600,11700,7400,7000,5700,8400
http://opendatacommunities.org/id/geography/administration/nmd/E07000196,South Staffordshire E07000196,11100,8900,8400,5700,4800,4700,2700,2200,8800
http://opendatacommunities.org/id/geography/administration/md/E08000023,South Tyneside E08000023,5100,10700,9600,6900,8200,6900,4900,5500,7300
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark E09000028,26600,48600,32500,17100,6200,11500,9500,5400,16900
http://opendatacommunities.org/id/geography/administration/nmd/E07000213,Spelthorne E07000213,5200,11900,9800,7000,4200,4900,2500,2100,2800
http://opendatacommunities.org/id/geography/administration/nmd/E07000240,St Albans E07000240,7100,24600,11700,5200,4800,7100,4000,"",4600
http://opendatacommunities.org/id/geography/administration/nmd/E07000204,St Edmundsbury E07000204,4800,9200,8300,6900,7600,4300,3900,3000,10100
http://opendatacommunities.org/id/geography/administration/md/E08000013,St. Helens E08000013,6900,14800,9400,10800,10300,8000,6800,5600,7900
http://opendatacommunities.org/id/geography/administration/nmd/E07000197,Stafford E07000197,7800,15100,8000,5000,6500,4600,5100,4300,9300
http://opendatacommunities.org/id/geography/administration/nmd/E07000198,Staffordshire Moorlands E07000198,4700,4300,6200,3900,6100,5800,4700,5500,8500
http://opendatacommunities.org/id/geography/administration/nmd/E07000243,Stevenage E07000243,4000,9700,4900,7800,5700,2800,3500,2900,3400
http://opendatacommunities.org/id/geography/administration/md/E08000007,Stockport E08000007,16500,33000,19400,16800,14100,15000,14300,5900,8400
http://opendatacommunities.org/id/geography/administration/nmd/E07000221,Stratford-on-Avon E07000221,9900,12000,13100,6200,7900,3700,2800,1000,4200
http://opendatacommunities.org/id/geography/administration/nmd/E07000082,Stroud E07000082,7200,12400,10000,8100,8000,5400,4800,4700,5500
http://opendatacommunities.org/id/geography/administration/nmd/E07000205,Suffolk Coastal E07000205,7600,13100,6000,7800,7300,4000,3600,4100,6700
http://opendatacommunities.org/id/geography/administration/md/E08000024,Sunderland E08000024,8200,15900,13100,15600,17100,12300,17600,9500,15800
http://opendatacommunities.org/id/geography/administration/nmd/E07000214,Surrey Heath E07000214,7200,12500,7300,6100,2300,3900,2000,1300,2200
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton E09000029,13500,22500,14700,12400,8300,9600,8100,6000,8200
http://opendatacommunities.org/id/geography/administration/nmd/E07000113,Swale E07000113,6200,8500,10200,7600,10700,8000,6900,4300,7400
http://opendatacommunities.org/id/geography/administration/md/E08000008,Tameside E08000008,10000,13000,13600,11700,9400,11500,10000,7900,12700
http://opendatacommunities.org/id/geography/administration/nmd/E07000199,Tamworth E07000199,2200,8300,3900,2800,5100,5200,2800,3500,3000
http://opendatacommunities.org/id/geography/administration/nmd/E07000215,Tandridge E07000215,11200,4900,10900,3800,5800,5300,3800,1800,2600
http://opendatacommunities.org/id/geography/administration/nmd/E07000190,Taunton Deane E07000190,6100,10500,9600,3800,5500,4700,5200,4200,6300
http://opendatacommunities.org/id/geography/administration/nmd/E07000045,Teignbridge E07000045,8900,10700,8700,8800,9000,5200,3000,3200,7800
http://opendatacommunities.org/id/geography/administration/nmd/E07000076,Tendring E07000076,5600,5700,5900,4300,8400,8800,3800,3400,5100
http://opendatacommunities.org/id/geography/administration/nmd/E07000093,Test Valley E07000093,3500,16500,10200,7700,5000,5800,3100,2700,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000083,Tewkesbury E07000083,6700,10000,4300,6700,5800,2400,2900,2400,3400
http://opendatacommunities.org/id/geography/administration/nmd/E07000114,Thanet E07000114,4100,11800,7000,7600,10000,6800,5700,4600,5000
http://opendatacommunities.org/id/geography/administration/nmd/E07000102,Three Rivers E07000102,7600,8600,3800,3300,3800,5900,3600,1900,4800
http://opendatacommunities.org/id/geography/administration/nmd/E07000115,Tonbridge and Malling E07000115,10400,9500,11300,7200,5100,4800,5500,2900,6000
http://opendatacommunities.org/id/geography/administration/nmd/E07000046,Torridge E07000046,5100,3700,3000,2200,3800,2200,1200,2000,4800
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,Tower Hamlets E09000030,18500,40800,32800,15300,6600,6400,10500,9400,17900
http://opendatacommunities.org/id/geography/administration/md/E08000009,Trafford E08000009,13900,37500,20300,13400,8500,7600,10900,3900,7100
http://opendatacommunities.org/id/geography/administration/nmd/E07000116,Tunbridge Wells E07000116,7300,14900,14400,4100,3300,3000,4600,"",4200
http://opendatacommunities.org/id/geography/administration/nmd/E07000077,Uttlesford E07000077,8600,9100,9000,4000,4500,5800,2000,1900,2200
http://opendatacommunities.org/id/geography/administration/nmd/E07000180,Vale of White Horse E07000180,6700,18900,10900,3300,5400,5200,4200,4200,5600
http://opendatacommunities.org/id/geography/administration/md/E08000036,Wakefield E08000036,12800,23300,18800,14400,19900,15100,12700,18700,21100
http://opendatacommunities.org/id/geography/administration/md/E08000030,Walsall E08000030,11500,17700,12400,13500,13200,11900,8100,12000,13400
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,Waltham Forest E09000031,11200,29000,21000,13700,11200,11900,12500,8700,18800
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,Wandsworth E09000032,35200,57200,43000,16400,6500,13800,5900,4700,7100
http://opendatacommunities.org/id/geography/administration/nmd/E07000222,Warwick E07000222,7800,23800,7100,8100,6900,5000,3200,2900,9000
http://opendatacommunities.org/id/geography/administration/nmd/E07000103,Watford E07000103,5500,13900,8200,7000,4300,5000,2500,"",4800
http://opendatacommunities.org/id/geography/administration/nmd/E07000206,Waveney E07000206,1800,7600,4000,6100,6300,8100,4000,4300,6400
http://opendatacommunities.org/id/geography/administration/nmd/E07000216,Waverley E07000216,6700,21400,7500,7600,7100,4800,2200,2300,5400
http://opendatacommunities.org/id/geography/administration/nmd/E07000065,Wealden E07000065,7200,11500,8500,6700,13700,10400,5200,2400,4000
http://opendatacommunities.org/id/geography/administration/nmd/E07000156,Wellingborough E07000156,2300,5500,7400,4400,3400,2600,3600,3700,3200
http://opendatacommunities.org/id/geography/administration/nmd/E07000241,Welwyn Hatfield E07000241,5900,14800,11900,5800,5400,3000,5900,2500,5700
http://opendatacommunities.org/id/geography/administration/nmd/E07000047,West Devon E07000047,3300,5300,4000,2800,3200,2000,1700,2400,2500
http://opendatacommunities.org/id/geography/administration/nmd/E07000052,West Dorset E07000052,7000,11300,6800,3700,6400,3800,1900,800,2700
http://opendatacommunities.org/id/geography/administration/nmd/E07000127,West Lancashire E07000127,3300,10900,6900,6100,4900,6700,3600,3500,7900
http://opendatacommunities.org/id/geography/administration/nmd/E07000142,West Lindsey E07000142,5300,8300,4300,3400,5400,3800,4100,4100,5700
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,West Oxfordshire E07000181,10500,9700,8300,6800,6200,4300,4700,2000,6200
http://opendatacommunities.org/id/geography/administration/nmd/E07000191,West Somerset E07000191,2200,3000,1000,800,2500,"",2200,1400,1900
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,Westminster E09000033,21800,28200,29900,12200,4900,4600,5500,3600,6900
http://opendatacommunities.org/id/geography/administration/nmd/E07000053,Weymouth and Portland E07000053,5000,2500,2900,3500,3400,2500,3100,"",2800
http://opendatacommunities.org/id/geography/administration/md/E08000010,Wigan E08000010,14000,23200,18400,20100,17900,17900,13700,14300,16200
http://opendatacommunities.org/id/geography/administration/nmd/E07000094,Winchester E07000094,10800,19500,10000,2900,5100,2400,5500,"",4000
http://opendatacommunities.org/id/geography/administration/md/E08000015,Wirral E08000015,12100,30800,20400,18600,12000,11500,10500,9000,13800
http://opendatacommunities.org/id/geography/administration/nmd/E07000217,Woking E07000217,6800,13800,9700,6100,6200,2300,4000,1600,3400
http://opendatacommunities.org/id/geography/administration/md/E08000031,Wolverhampton E08000031,6500,13800,13400,10400,14500,9700,8400,11600,17200
http://opendatacommunities.org/id/geography/administration/nmd/E07000237,Worcester E07000237,3300,12500,8400,6900,5900,5500,2600,4100,4400
http://opendatacommunities.org/id/geography/administration/nmd/E07000229,Worthing E07000229,3900,11200,11600,5400,7000,2700,2800,3500,4500
http://opendatacommunities.org/id/geography/administration/nmd/E07000238,Wychavon E07000238,7500,14300,8900,4300,7600,4800,3300,5300,7400
http://opendatacommunities.org/id/geography/administration/nmd/E07000007,Wycombe E07000007,12100,22700,15100,11600,9400,7700,10600,2000,5100
http://opendatacommunities.org/id/geography/administration/nmd/E07000128,Wyre E07000128,3700,9600,9400,6900,6000,5600,2800,1700,2700
http://opendatacommunities.org/id/geography/administration/nmd/E07000239,Wyre Forest E07000239,4900,8200,4800,4400,5900,6600,2300,2900,4300
